file_name,height,width,x1,y1,x2,y2,category_id,iscrowd
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,750,900,831,1002,6,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,597,933,672,999,16,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1290,960,1365,1026,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,978,978,1053,1053,16,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,693,981,747,1059,15,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,846,999,915,1050,10,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,477,999,552,1065,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,912,1023,981,1101,12,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1227,1038,1293,1101,9,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1074,1035,1128,1113,15,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,753,1050,828,1116,16,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,834,1083,882,1161,3,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,669,1143,744,1212,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,921,1140,978,1227,1,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,885,492,945,576,1,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1053,513,1119,582,9,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,720,534,795,597,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1257,543,1332,609,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,624,579,687,645,9,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1032,609,1107,678,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,882,606,936,684,15,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,939,645,1023,744,5,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,810,687,876,735,8,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,606,687,660,762,15,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1317,708,1380,777,9,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1020,684,1116,801,13,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,786,720,831,795,7,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1188,732,1263,795,4,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,684,762,759,831,16,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,972,771,1026,840,2,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,1110,807,1164,849,11,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,453,789,510,876,1,0
IMG_2031_jpg.rf.2fe1f226fc98f196d60baef37fd157a6.jpg,1920,1920,906,810,951,885,7,0
